,video_name,MOS
0,A001,80.232
1,A002,57.3005
2,A003,78.1558
3,A004,59.3179
4,A005,47.1778
5,A006,84.6517
6,A007,50.8675
7,A008,46.8902
8,A009,80.7925
9,A010,31.2785
10,A011,87.2287
11,A012,47.7826
12,A013,83.4083
13,A014,69.9652
14,A015,78.3957
15,A016,37.8421
16,A017,65.4778
17,A018,76.0205
18,A019,70.843
19,A020,77.7258
20,A021,37.6011
21,A022,38.674
22,A023,69.0588
23,A024,71.962
24,A025,42.0856
25,A026,74.5397
26,A027,56.3388
27,A028,41.5304
28,A029,75.3861
29,A030,81.5278
30,A031,62.1042
31,A032,74.3189
32,A033,71.7097
33,A034,80.4271
34,A035,85.0968
35,A036,46.6608
36,A037,77.5858
37,A038,51.9195
38,A039,53.006
39,A040,50.3763
40,A041,35.1412
41,A042,76.8312
42,A043,38.1554
43,A044,53.4333
44,A045,81.9773
45,A046,69.1902
46,A047,58.4895
47,A048,72.3462
48,A049,72.2176
49,A050,48.0519
50,A051,80.2807
51,A052,44.8256
52,A053,67.0884
53,A054,76.1667
54,A055,53.8092
55,A056,52.3594
56,A057,66.4892
57,A058,57.0
58,A059,74.2873
59,A060,63.1839
60,A061,56.4521
61,A062,47.5187
62,A063,44.8971
63,A064,49.8497
64,A065,81.8222
65,A066,74.7647
66,A067,77.4551
67,A068,39.123
68,A069,49.4444
69,A070,65.4608
70,A071,74.1071
71,A072,20.4406
72,A073,91.1313
73,A074,57.3204
74,A075,58.1867
75,A076,64.7835
76,A077,74.4483
77,A078,38.8777
78,A079,81.0943
79,A080,39.2086
80,A081,75.7143
81,A082,87.0859
82,A083,46.3077
83,A084,55.3835
84,A085,70.8486
85,A086,35.2749
86,A087,56.6415
87,A088,43.4892
88,A089,46.9444
89,A090,86.1709
90,A091,46.2238
91,A092,71.095
92,A093,66.9632
93,A094,52.3441
94,A095,71.5491
95,A096,66.5815
96,A097,66.4593
97,A098,85.8091
98,A099,46.1517
99,A100,46.6273
100,A101,69.3657
101,A102,62.987
102,A103,71.6203
103,A104,50.385
104,A105,37.8824
105,A106,72.642
106,A107,81.6325
107,A108,35.8462
108,A109,36.5086
109,A110,87.8585
110,B001,27.2485
111,B002,73.4245
112,B003,49.1111
113,B004,60.6719
114,B005,47.2959
115,B006,44.4845
116,B007,37.858
117,B008,75.0204
118,B009,39.4971
119,B010,33.9518
120,B011,36.0333
121,B012,33.9801
122,B013,58.0795
123,B014,62.3243
124,B015,56.9636
125,B016,52.1065
126,B017,65.3693
127,B018,54.024
128,B019,66.1658
129,B020,69.2781
130,B021,84.9903
131,B022,84.532
132,B023,70.8629
133,B024,67.6078
134,B025,86.53
135,B026,72.0794
136,B027,89.2689
137,B028,78.8442
138,B029,90.8788
139,B030,23.7704
140,B031,69.9155
141,B032,62.1639
142,B033,67.869
143,B034,71.4773
144,B035,43.9005
145,B036,82.8776
146,B037,47.7402
147,B038,67.4641
148,B039,61.2217
149,B040,67.0729
150,B041,45.799
151,B042,62.8774
152,B043,38.3
153,B044,87.1329
154,B045,64.1244
155,B046,75.0229
156,B047,63.7714
157,B048,65.9427
158,B049,78.5928
159,B050,77.2019
160,B051,46.0611
161,B052,58.6099
162,B053,74.9505
163,B054,27.2126
164,B055,64.193
165,B056,62.6744
166,B057,59.9947
167,B058,58.367
168,B059,52.0
169,B060,59.4882
170,B061,63.7011
171,B062,56.8361
172,B063,44.152
173,B064,60.0559
174,B065,58.7207
175,B066,57.5947
176,B067,70.6193
177,B068,76.6719
178,B069,68.4948
179,B070,56.4128
180,B071,81.3516
181,B072,82.573
182,B073,66.0347
183,B074,83.0838
184,B075,55.4301
185,B076,85.2071
186,B077,81.9227
187,B078,87.6489
188,B079,73.5323
189,B080,78.8136
190,B081,46.3822
191,B082,39.3422
192,B083,47.1299
193,B084,27.3091
194,B085,78.5556
195,B086,80.3536
196,B087,72.178
197,B088,52.8177
198,B089,74.2079
199,B090,26.0497
200,B091,71.7738
201,B092,75.2238
202,B093,70.0112
203,B094,72.7368
204,B095,72.7588
205,B096,57.6856
206,B097,60.4053
207,B098,80.199
208,B099,69.5399
209,B100,80.2398
210,B101,59.2431
211,B102,88.0219
212,B103,25.2484
213,B104,71.3464
214,B105,70.9
215,B106,57.0578
216,B107,76.7188
217,B108,85.7418
218,B109,79.3295
219,B110,77.6527
220,B111,57.7553
221,B112,56.3086
222,B113,73.7705
223,B114,85.8129
224,B115,39.1942
225,B116,65.6578
226,B117,70.7436
227,B118,71.8769
228,B119,69.3909
229,B120,82.9815
230,B121,54.3529
231,B122,59.2645
232,B123,76.6535
233,B124,55.3564
234,B125,52.9389
235,B126,73.5285
236,B127,58.382
237,B128,59.2601
238,B129,38.2353
239,B130,52.7733
240,B131,37.062
241,B132,42.6774
242,B133,81.2515
243,B134,69.35
244,B135,79.775
245,B136,71.8718
246,B137,47.1258
247,B138,79.3155
248,B139,68.8052
249,B140,68.4787
250,B141,86.3333
251,B142,64.9667
252,B143,64.0795
253,B144,46.1283
254,B145,87.7442
255,B146,62.9054
256,B147,73.0254
257,B148,27.5249
258,B149,51.5759
259,B150,58.6421
260,B151,71.6954
261,B152,70.9887
262,B153,62.9021
263,B154,49.736
264,B155,43.4969
265,B156,69.2067
266,B157,75.9554
267,B158,76.8757
268,B159,35.9529
269,B160,34.3556
270,B161,71.6517
271,B162,51.3829
272,B163,45.5813
273,B164,83.1737
274,B165,67.3736
275,B166,57.8166
276,B167,14.8662
277,B168,56.3245
278,B169,54.0769
279,B170,35.8132
280,B171,89.7447
281,B172,75.619
282,B173,66.0171
283,B174,17.9012
284,B175,38.6221
285,B176,68.9807
286,B177,40.7351
287,B178,61.3542
288,B179,56.5635
289,B180,72.9946
290,B181,38.5263
291,B182,82.9684
292,B183,85.2941
293,B184,57.0256
294,B185,65.4143
295,B186,64.5275
296,B187,90.199
297,B188,70.3474
298,B189,49.8683
299,B190,72.1381
300,B191,82.8227
301,B192,55.6981
302,B193,70.5926
303,B194,55.5238
304,B195,70.2275
305,B196,50.7012
306,B197,36.4242
307,B198,84.7438
308,B199,76.1538
309,B200,36.2614
310,B201,49.4186
311,B202,78.8095
312,B203,78.539
313,B204,72.3743
314,B205,63.2195
315,B206,80.9784
316,B207,86.5106
317,B208,74.1111
318,B209,74.7753
319,B210,29.4167
320,B211,80.995
321,B212,71.6895
322,B213,85.9296
323,B214,45.2158
324,B215,49.1789
325,B216,85.8934
326,B217,37.7778
327,B218,89.0446
328,B219,78.0149
329,B220,70.117
330,B221,80.4144
331,B222,34.2513
332,B223,60.6067
333,B224,81.0055
334,B225,80.4624
335,B226,62.5157
336,B227,90.2448
337,B228,71.1987
338,B229,73.8866
339,B230,73.6337
340,B231,65.0412
341,B232,65.1549
342,B233,50.8201
343,B234,80.4612
344,B235,68.4103
345,B236,53.3737
346,B237,70.1209
347,B238,60.5058
348,B239,67.5337
349,B240,67.1576
350,B241,66.459
351,B242,71.6724
352,B243,47.8021
353,B244,63.5397
354,B245,82.8444
355,B246,56.3813
356,B247,76.2626
357,B248,62.3922
358,B249,69.7869
359,B250,61.2128
360,B251,82.7214
361,B252,73.2762
362,B253,72.1818
363,B254,54.569
364,B255,62.2424
365,B256,59.5503
366,B257,82.2251
367,B258,85.4278
368,B259,84.8989
369,B260,6.22368
370,B261,78.0125
371,B262,51.9461
372,B263,64.4931
373,B264,78.114
374,B265,74.4638
375,B266,88.24
376,B267,62.3061
377,B268,25.0861
378,B269,66.5404
379,B270,90.3281
380,B271,84.2073
381,B272,49.6404
382,B273,53.4568
383,B274,54.9497
384,B275,79.0355
385,B276,83.5027
386,B277,28.6053
387,B278,70.3646
388,B279,67.9827
389,B280,69.5136
390,B281,50.288
391,B282,70.8817
392,B283,64.2865
393,B284,71.3248
394,B285,73.6837
395,B286,38.6012
396,B287,70.2771
397,B288,82.4922
398,B289,84.8406
399,B290,62.4348
400,B291,71.1256
401,B292,81.9686
402,B293,78.2485
403,B294,66.3431
404,B295,54.7539
405,B296,63.203
406,B297,61.4341
407,B298,42.3916
408,B299,72.21
409,B300,27.691
410,B301,49.1242
411,B302,72.25
412,B303,18.8824
413,B304,91.7312
414,B305,66.0914
415,B306,79.1263
416,B307,62.3543
417,B308,82.8098
418,B309,75.774
419,B310,85.1746
420,B311,88.8258
421,B312,61.1696
422,B313,89.2074
423,B314,94.2865
424,B315,85.593
425,B316,89.1236
426,C001,84.2191
427,D001,32.7293
428,E001,51.6061
429,F001,69.3289
430,F002,29.0101
431,F003,40.2153
432,F004,18.6163
433,F005,56.6974
434,F006,59.6044
435,F007,42.7267
436,G001,72.0884
437,G002,47.5172
438,G003,73.1593
439,G004,76.068
440,G005,85.2933
441,G006,72.881
442,G007,87.2169
443,G008,65.8113
444,G009,72.7931
445,G010,68.4129
446,G011,24.7697
447,G012,51.3923
448,G013,73.2679
449,G014,56.096
450,G015,89.2513
451,G016,80.5959
452,G017,75.1832
453,G018,83.5848
454,G019,71.6599
455,G020,60.6335
456,G021,41.2703
457,G022,58.5622
458,G023,58.9406
459,G024,59.6292
460,G025,40.5028
461,G026,54.4118
462,G027,45.7368
463,G028,61.3883
464,G029,50.4835
465,G030,77.7895
466,G031,70.6823
467,G032,53.278
468,G033,60.6505
469,G034,82.4354
470,G035,72.2569
471,G036,78.6898
472,G037,78.2783
473,G038,72.125
474,G039,73.5789
475,G040,80.9306
476,G041,43.7181
477,G042,70.191
478,G043,77.4279
479,G044,74.9635
480,G045,62.4847
481,G046,78.8212
482,G047,70.1804
483,G048,78.9434
484,G049,44.5829
485,G050,79.9171
486,G051,75.6131
487,G052,67.6825
488,G053,74.3118
489,G054,56.0
490,G055,63.478
491,G056,62.0506
492,G057,54.5354
493,G058,65.1421
494,G059,38.0054
495,G060,71.4348
496,G061,73.8883
497,G062,49.3832
498,G063,29.0845
499,G064,11.3333
500,G065,68.6814
501,G066,11.9079
502,G067,57.2944
503,G068,59.4638
504,G069,66.1244
505,G070,79.5904
506,G071,48.3714
507,G072,47.7432
508,G073,18.6333
509,G074,83.1826
510,G075,64.293
511,G076,80.0361
512,G077,85.2383
513,G078,81.5829
514,G079,15.3576
515,G080,26.2575
516,G081,46.7325
517,G082,78.019
518,G083,78.7753
519,G084,59.3198
520,G085,76.4971
521,G086,41.3556
522,G087,71.1184
523,G088,56.0826
524,G089,31.2638
525,G090,75.4464
526,G091,84.2475
527,G092,67.8351
528,G093,66.1105
529,G094,66.865
530,G095,79.2192
531,G096,86.6243
532,G097,84.6976
533,G098,35.8556
534,G099,80.5632
535,G100,80.0573
536,G101,63.0345
537,G102,67.75
538,G103,81.3545
539,G104,86.1474
540,G105,45.0703
541,G106,23.4251
542,G107,49.2717
543,G108,58.5988
544,G109,79.2459
545,G110,83.5217
546,G111,55.0282
547,G112,74.3393
548,G113,74.4923
549,G114,65.0532
550,G115,77.8551
551,G116,88.4254
552,G117,71.7751
553,G118,65.9
554,G119,76.8795
555,H001,63.6974
556,H002,69.1073
557,I001,72.3462
558,I002,63.4225
559,I003,69.5414
560,J001,71.2778
561,J002,62.36
562,J003,60.4424
563,J004,62.645
564,J005,24.1117
565,K001,33.0114
566,K002,53.9415
567,L001,76.5463
568,M001,36.9665
569,M002,69.3081
570,M003,21.1084
571,N001,67.445
572,O001,27.8
573,O002,31.0169
574,P001,64.399
575,P002,60.1489
576,P003,61.749
577,P004,63.4194
578,P005,74.1421
579,P006,54.2271
580,P007,38.2139
581,P008,38.4545
582,P009,55.9663
583,Q001,61.1466
584,R001,72.4848
